metric_name,score_calculated_ts,target,metric_logic,day_score,day_numerator,day_denominator,week_score,week_numerator,week_denominator,month_score,month_numerator,month_denominator,quarter_score,quarter_numerator,quarter_denominator,latest_score_flag
MISSED TRASH ON-TIME %,2026-03-31 10:04:00,0.8,sum(numerator_value)/sum(denominator_value)/target,1.125,9.0,10.0,1.23106060606061,65.0,66.0,1.19827586206897,556.0,580.0,1.19527829893684,1529.0,1599.0,0
MISSED TRASH ON-TIME %,2026-04-07 11:36:56,0.8,sum(numerator_value)/sum(denominator_value)/target,1.25,11.0,11.0,1.19565217391304,44.0,46.0,1.20652173913043,333.0,345.0,1.19321922317314,1450.0,1519.0,0
MISSED TRASH ON-TIME %,2026-04-10 10:58:09,0.8,sum(numerator_value)/sum(denominator_value)/target,1.17647058823529,16.0,17.0,1.19565217391304,44.0,46.0,1.20652173913043,333.0,345.0,1.19321922317314,1450.0,1519.0,0
MISSED TRASH ON-TIME %,2026-05-16 07:20:17,0.8,sum(numerator_value)/sum(denominator_value)/target,1.25,11.0,11.0,1.23106060606061,65.0,66.0,1.19767441860465,412.0,430.0,1.20018450184502,1301.0,1355.0,1
ON-TIME PERMIT REVIEWS,2026-03-25 11:25:10,1.0,sum(numerator_value)/sum(denominator_value)/target,,,,0.636363636363636,161.0,253.0,0.666301969365427,609.0,914.0,0.694350758853288,1647.0,2372.0,0
ON-TIME PERMIT REVIEWS,2026-03-31 10:04:03,1.0,sum(numerator_value)/sum(denominator_value)/target,,,,0.598930481283422,112.0,187.0,0.666301969365427,609.0,914.0,0.694350758853288,1647.0,2372.0,0
ON-TIME PERMIT REVIEWS,2026-04-07 11:36:59,1.0,sum(numerator_value)/sum(denominator_value)/target,,,,0.758196721311475,185.0,244.0,0.651286601597161,734.0,1127.0,0.654002213205459,1773.0,2711.0,0
ON-TIME PERMIT REVIEWS,2026-04-10 10:58:10,1.0,sum(numerator_value)/sum(denominator_value)/target,,,,0.75609756097561,186.0,246.0,0.650709219858156,734.0,1128.0,0.653761061946903,1773.0,2712.0,0
ON-TIME PERMIT REVIEWS,2026-05-16 07:20:18,1.0,sum(numerator_value)/sum(denominator_value)/target,,,,0.712820512820513,139.0,195.0,0.695519348268839,683.0,982.0,0.669864373139266,2025.0,3023.0,1
PARKS MAINTENANCE ON-TIME %,2026-03-25 11:25:07,0.8,sum(numerator_value)/sum(denominator_value)/target,,,,,,,,,,,,,0
PARKS MAINTENANCE ON-TIME %,2026-03-31 10:04:02,0.8,sum(numerator_value)/sum(denominator_value)/target,,,,,,,,,,,,,0
PARKS MAINTENANCE ON-TIME %,2026-04-07 11:36:57,0.8,sum(numerator_value)/sum(denominator_value)/target,,,,,,,,,,,,,0
PARKS MAINTENANCE ON-TIME %,2026-04-10 10:58:09,0.8,sum(numerator_value)/sum(denominator_value)/target,,,,,,,,,,,,,0
PARKS MAINTENANCE ON-TIME %,2026-05-16 07:20:17,0.8,sum(numerator_value)/sum(denominator_value)/target,,,,,,,,,,,,,1
PART 1 CRIMES,2026-03-25 11:25:02,,historical_average / current_average,,40.1785714285714,,1.14329268292683,40.1785714285714,35.1428571428571,1.10366059379217,38.9434523809524,35.2857142857143,1.19532049938625,42.1682509505703,35.2777777777778,0
PART 1 CRIMES,2026-03-31 10:03:59,,historical_average / current_average,,41.5119047619048,,1.45291666666667,41.5119047619048,28.5714285714286,1.10366059379217,38.9434523809524,35.2857142857143,1.19456801559689,42.1682509505703,35.3,0
PART 1 CRIMES,2026-04-07 11:36:55,,historical_average / current_average,,40.6428571428571,,1.36778846153846,40.6428571428571,29.7142857142857,1.01400329489292,39.7096774193548,39.1612903225806,1.11515011783994,40.3064814814815,36.1444444444444,0
PART 1 CRIMES,2026-04-10 10:58:08,,historical_average / current_average,,40.6428571428571,,1.0984555984556,40.6428571428571,37.0,1.00736497545008,39.7096774193548,39.4193548387097,1.11173255695168,40.3064814814815,36.2555555555556,0
PART 1 CRIMES,2026-05-16 07:20:16,,historical_average / current_average,,42.2142857142857,,1.07065217391304,42.2142857142857,39.4285714285714,0.976309067688378,42.4694444444444,43.5,1.00606230180936,40.4007490636704,40.1573033707865,1
POTHOLE ON-TIME %,2026-03-25 11:25:04,0.8,sum(numerator_value)/sum(denominator_value)/target,1.25,1.0,1.0,0.506912442396313,88.0,217.0,0.610902255639098,130.0,266.0,0.627561475409836,245.0,488.0,0
POTHOLE ON-TIME %,2026-03-31 10:04:00,0.8,sum(numerator_value)/sum(denominator_value)/target,0.503246753246753,31.0,77.0,0.548245614035088,50.0,114.0,0.610902255639098,130.0,266.0,0.627561475409836,245.0,488.0,0
POTHOLE ON-TIME %,2026-04-07 11:36:56,0.8,sum(numerator_value)/sum(denominator_value)/target,1.02272727272727,18.0,22.0,0.567602040816326,89.0,196.0,0.524928092042186,438.0,1043.0,0.55256064690027,656.0,1484.0,0
POTHOLE ON-TIME %,2026-04-10 10:58:08,0.8,sum(numerator_value)/sum(denominator_value)/target,0.808823529411765,11.0,17.0,0.567602040816326,89.0,196.0,0.524928092042186,438.0,1043.0,0.55256064690027,656.0,1484.0,0
POTHOLE ON-TIME %,2026-05-16 07:20:17,0.8,sum(numerator_value)/sum(denominator_value)/target,0.5,2.0,5.0,0.80188679245283,34.0,53.0,0.661764705882353,180.0,340.0,0.56701030927835,748.0,1649.0,1
SHOOTINGS (TREND),2026-03-25 11:25:01,,historical_average / current_average,,0.738095238095238,,2.58333333333333,0.738095238095238,0.285714285714286,0.985294117647059,0.598214285714286,0.607142857142857,1.65969581749049,0.737642585551331,0.444444444444444,0
SHOOTINGS (TREND),2026-03-31 10:03:59,,historical_average / current_average,,0.952380952380952,,2.22222222222222,0.952380952380952,0.428571428571429,0.985294117647059,0.598214285714286,0.607142857142857,1.65969581749049,0.737642585551331,0.444444444444444,0
SHOOTINGS (TREND),2026-04-07 11:36:54,,historical_average / current_average,,0.952380952380952,,3.33333333333333,0.952380952380952,0.285714285714286,2.02777777777778,0.78494623655914,0.387096774193548,1.51587301587302,0.707407407407407,0.466666666666667,0
SHOOTINGS (TREND),2026-04-10 10:58:08,,historical_average / current_average,,0.952380952380952,,3.33333333333333,0.952380952380952,0.285714285714286,2.02777777777778,0.78494623655914,0.387096774193548,1.51587301587302,0.707407407407407,0.466666666666667,0
SHOOTINGS (TREND),2026-05-16 07:20:16,,historical_average / current_average,,0.785714285714286,,0.611111111111111,0.785714285714286,1.28571428571429,1.47549019607843,0.836111111111111,0.566666666666667,1.37847222222222,0.743445692883895,0.539325842696629,1
SIGN INSTALLATION ON-TIME %,2026-03-25 11:25:07,0.8,sum(numerator_value)/sum(denominator_value)/target,,,,1.25,2.0,2.0,0.348557692307692,29.0,104.0,0.238199300699301,109.0,572.0,0
SIGN INSTALLATION ON-TIME %,2026-03-31 10:04:01,0.8,sum(numerator_value)/sum(denominator_value)/target,0.0,0.0,4.0,1.25,4.0,4.0,0.348557692307692,29.0,104.0,0.238199300699301,109.0,572.0,0
SIGN INSTALLATION ON-TIME %,2026-04-07 11:36:57,0.8,sum(numerator_value)/sum(denominator_value)/target,,,,0.1875,6.0,40.0,0.339673913043478,25.0,92.0,0.329701834862385,115.0,436.0,0
SIGN INSTALLATION ON-TIME %,2026-04-10 10:58:09,0.8,sum(numerator_value)/sum(denominator_value)/target,0.3125,11.0,44.0,0.1875,6.0,40.0,0.339673913043478,25.0,92.0,0.329701834862385,115.0,436.0,0
SIGN INSTALLATION ON-TIME %,2026-05-16 07:20:17,0.8,sum(numerator_value)/sum(denominator_value)/target,,,,0.100806451612903,10.0,124.0,0.185810810810811,66.0,444.0,0.234375,120.0,640.0,1
SIGNAL REPAIR ON-TIME %,2026-03-25 11:25:05,0.8,sum(numerator_value)/sum(denominator_value)/target,1.25,8.0,8.0,1.25,39.0,39.0,1.10869565217391,102.0,115.0,1.17331288343558,306.0,326.0,0
SIGNAL REPAIR ON-TIME %,2026-03-31 10:04:01,0.8,sum(numerator_value)/sum(denominator_value)/target,1.25,1.0,1.0,1.21710526315789,37.0,38.0,1.10869565217391,102.0,115.0,1.17331288343558,306.0,326.0,0
SIGNAL REPAIR ON-TIME %,2026-04-07 11:36:57,0.8,sum(numerator_value)/sum(denominator_value)/target,0.833333333333333,4.0,6.0,1.16379310344828,27.0,29.0,1.24125874125874,142.0,143.0,1.1878453038674,344.0,362.0,0
SIGNAL REPAIR ON-TIME %,2026-04-10 10:58:09,0.8,sum(numerator_value)/sum(denominator_value)/target,1.07142857142857,6.0,7.0,1.16379310344828,27.0,29.0,1.24125874125874,142.0,143.0,1.1878453038674,344.0,362.0,0
SIGNAL REPAIR ON-TIME %,2026-05-16 07:20:17,0.8,sum(numerator_value)/sum(denominator_value)/target,1.25,5.0,5.0,1.25,35.0,35.0,1.18534482758621,110.0,116.0,1.1831550802139,354.0,374.0,1
STABBINGS (TREND),2026-03-25 11:25:01,,historical_average / current_average,,1.16666666666667,,0.907407407407407,1.16666666666667,1.28571428571429,0.97972972972973,1.29464285714286,1.32142857142857,1.42656844106464,1.2680608365019,0.888888888888889,0
STABBINGS (TREND),2026-03-31 10:03:59,,historical_average / current_average,,1.23809523809524,,4.33333333333333,1.23809523809524,0.285714285714286,0.97972972972973,1.29464285714286,1.32142857142857,1.42656844106464,1.2680608365019,0.888888888888889,0
STABBINGS (TREND),2026-04-07 11:36:55,,historical_average / current_average,,1.22619047619048,,1.43055555555556,1.22619047619048,0.857142857142857,1.11363636363636,1.18548387096774,1.06451612903226,1.24074074074074,1.24074074074074,1.0,0
STABBINGS (TREND),2026-04-10 10:58:08,,historical_average / current_average,,1.22619047619048,,1.22619047619048,1.22619047619048,1.0,1.11363636363636,1.18548387096774,1.06451612903226,1.24074074074074,1.24074074074074,1.0,0
STABBINGS (TREND),2026-05-16 07:20:16,,historical_average / current_average,,1.57142857142857,,1.83333333333333,1.57142857142857,0.857142857142857,1.1452380952381,1.33611111111111,1.16666666666667,1.06682389937107,1.27059925093633,1.19101123595506,1
STREETLIGHT ON-TIME %,2026-03-25 11:25:05,0.8,sum(numerator_value)/sum(denominator_value)/target,,,,,,,,,,,,,0
STREETLIGHT ON-TIME %,2026-03-31 10:04:01,0.8,sum(numerator_value)/sum(denominator_value)/target,,,,,,,,,,,,,0
STREETLIGHT ON-TIME %,2026-04-07 11:36:56,0.8,sum(numerator_value)/sum(denominator_value)/target,,,,,,,,,,,,,0
STREETLIGHT ON-TIME %,2026-04-10 10:58:09,0.8,sum(numerator_value)/sum(denominator_value)/target,,,,,,,,,,,,,0
STREETLIGHT ON-TIME %,2026-05-16 07:20:17,0.8,sum(numerator_value)/sum(denominator_value)/target,,,,,,,,,,,,,1
TREE MAINTENANCE ON-TIME %,2026-03-25 11:25:07,0.8,sum(numerator_value)/sum(denominator_value)/target,,,,,,,,,,,,,0
TREE MAINTENANCE ON-TIME %,2026-03-31 10:04:02,0.8,sum(numerator_value)/sum(denominator_value)/target,,,,,,,,,,,,,0
TREE MAINTENANCE ON-TIME %,2026-04-07 11:36:58,0.8,sum(numerator_value)/sum(denominator_value)/target,,,,,,,,,,,,,0
TREE MAINTENANCE ON-TIME %,2026-04-10 10:58:09,0.8,sum(numerator_value)/sum(denominator_value)/target,,,,,,,,,,,,,0
TREE MAINTENANCE ON-TIME %,2026-05-16 07:20:18,0.8,sum(numerator_value)/sum(denominator_value)/target,,,,,,,,,,,,,1
