period_type,as_of_date,score,metric_count,source,previous_score,change
day,2016-11-02 00:00:00,1.2393416,,historical_city_aggregate,1.0313911,0.20795049999999993
day,2016-11-03 00:00:00,1.1945818,,historical_city_aggregate,1.2393416,-0.044759800000000016
day,2016-11-04 00:00:00,1.0930834,,historical_city_aggregate,1.1945818,-0.10149839999999988
day,2016-11-07 00:00:00,1.1258434,,historical_city_aggregate,1.0930834,0.0327599999999999
day,2016-11-08 00:00:00,1.200583,,historical_city_aggregate,1.1258434,0.07473960000000002
day,2016-11-09 00:00:00,1.089404,,historical_city_aggregate,1.200583,-0.11117899999999992
day,2016-11-10 00:00:00,1.2144372,,historical_city_aggregate,1.089404,0.12503320000000007
day,2016-11-11 00:00:00,1.2905641,,historical_city_aggregate,1.2144372,0.0761269
day,2016-11-14 00:00:00,1.0698933,,historical_city_aggregate,1.2905641,-0.22067080000000017
day,2016-11-15 00:00:00,1.1405973,,historical_city_aggregate,1.0698933,0.0707040000000001
day,2016-11-16 00:00:00,1.251299,,historical_city_aggregate,1.1405973,0.1107016999999999
day,2016-11-17 00:00:00,1.0837389,,historical_city_aggregate,1.251299,-0.1675601
day,2016-11-18 00:00:00,1.0564277,,historical_city_aggregate,1.0837389,-0.02731119999999998
day,2016-11-21 00:00:00,1.121267,,historical_city_aggregate,1.0564277,0.06483930000000004
day,2016-11-22 00:00:00,1.2949006,,historical_city_aggregate,1.121267,0.17363360000000005
day,2016-11-23 00:00:00,1.0577989,,historical_city_aggregate,1.2949006,-0.23710169999999997
day,2016-11-24 00:00:00,1.1863771,,historical_city_aggregate,1.0577989,0.12857819999999998
day,2016-11-25 00:00:00,1.2319137,,historical_city_aggregate,1.1863771,0.04553659999999993
day,2016-11-28 00:00:00,1.1866515,,historical_city_aggregate,1.2319137,-0.04526220000000003
day,2016-11-29 00:00:00,1.1859986,,historical_city_aggregate,1.1866515,-0.0006528999999999563
day,2016-11-30 00:00:00,1.0209447,,historical_city_aggregate,1.1859986,-0.16505389999999998
day,2016-12-01 00:00:00,1.2240393,,historical_city_aggregate,1.0209447,0.20309460000000001
day,2016-12-02 00:00:00,1.1340932,,historical_city_aggregate,1.2240393,-0.08994610000000014
day,2016-12-05 00:00:00,1.1342078,,historical_city_aggregate,1.1340932,0.00011460000000007575
day,2016-12-06 00:00:00,1.0600334,,historical_city_aggregate,1.1342078,-0.07417439999999997
day,2016-12-07 00:00:00,1.1064888,,historical_city_aggregate,1.0600334,0.046455399999999925
day,2016-12-08 00:00:00,1.1245592,,historical_city_aggregate,1.1064888,0.018070400000000042
day,2016-12-09 00:00:00,0.9875722,,historical_city_aggregate,1.1245592,-0.13698699999999997
day,2016-12-12 00:00:00,1.0966616,,historical_city_aggregate,0.9875722,0.1090894
day,2016-12-13 00:00:00,1.2294521,,historical_city_aggregate,1.0966616,0.13279050000000003
day,2016-12-14 00:00:00,1.0737828,,historical_city_aggregate,1.2294521,-0.1556693
day,2016-12-15 00:00:00,1.0811423,,historical_city_aggregate,1.0737828,0.007359499999999963
day,2016-12-16 00:00:00,1.0867557,,historical_city_aggregate,1.0811423,0.005613400000000102
day,2016-12-19 00:00:00,1.3070459,,historical_city_aggregate,1.0867557,0.2202902
day,2016-12-20 00:00:00,1.0861225,,historical_city_aggregate,1.3070459,-0.2209234
day,2016-12-21 00:00:00,1.0899977,,historical_city_aggregate,1.0861225,0.0038751999999999676
day,2016-12-22 00:00:00,1.1070961,,historical_city_aggregate,1.0899977,0.017098399999999847
day,2016-12-23 00:00:00,1.0752268,,historical_city_aggregate,1.1070961,-0.03186929999999988
day,2016-12-26 00:00:00,1.2496394,,historical_city_aggregate,1.0752268,0.17441259999999992
day,2016-12-27 00:00:00,1.1681269,,historical_city_aggregate,1.2496394,-0.08151249999999988
day,2016-12-28 00:00:00,1.2043809,,historical_city_aggregate,1.1681269,0.03625400000000001
day,2016-12-29 00:00:00,1.150339,,historical_city_aggregate,1.2043809,-0.05404190000000009
day,2016-12-30 00:00:00,1.1670924,,historical_city_aggregate,1.150339,0.01675340000000003
day,2017-01-02 00:00:00,1.2885223,,historical_city_aggregate,1.1670924,0.12142989999999987
day,2017-01-03 00:00:00,1.0642204,,historical_city_aggregate,1.2885223,-0.22430189999999994
day,2017-01-04 00:00:00,1.1193183,,historical_city_aggregate,1.0642204,0.05509790000000003
day,2017-01-05 00:00:00,0.9666584,,historical_city_aggregate,1.1193183,-0.15265989999999996
day,2017-01-06 00:00:00,1.0415657,,historical_city_aggregate,0.9666584,0.07490730000000001
day,2017-01-09 00:00:00,1.0592714,,historical_city_aggregate,1.0415657,0.017705700000000046
day,2017-01-10 00:00:00,1.0088692,,historical_city_aggregate,1.0592714,-0.050402200000000175
day,2017-01-11 00:00:00,0.960195,,historical_city_aggregate,1.0088692,-0.04867419999999989
day,2017-01-12 00:00:00,1.0614745,,historical_city_aggregate,0.960195,0.10127950000000008
day,2017-01-13 00:00:00,1.0370931,,historical_city_aggregate,1.0614745,-0.024381399999999998
day,2017-01-16 00:00:00,1.0593086,,historical_city_aggregate,1.0370931,0.022215499999999944
day,2017-01-17 00:00:00,1.2218708,,historical_city_aggregate,1.0593086,0.1625622
day,2017-01-18 00:00:00,1.1164783,,historical_city_aggregate,1.2218708,-0.1053925
day,2017-01-19 00:00:00,1.0622817,,historical_city_aggregate,1.1164783,-0.05419660000000004
day,2017-01-20 00:00:00,1.1930116,,historical_city_aggregate,1.0622817,0.13072989999999995
day,2017-01-23 00:00:00,1.1930491,,historical_city_aggregate,1.1930116,3.750000000013465e-05
day,2017-01-24 00:00:00,1.147643,,historical_city_aggregate,1.1930491,-0.045406100000000116
day,2017-01-25 00:00:00,1.1002034,,historical_city_aggregate,1.147643,-0.047439599999999915
day,2017-01-26 00:00:00,1.0606441,,historical_city_aggregate,1.1002034,-0.039559300000000075
day,2017-01-27 00:00:00,1.1059808,,historical_city_aggregate,1.0606441,0.04533670000000001
day,2017-01-30 00:00:00,1.0602504,,historical_city_aggregate,1.1059808,-0.04573040000000006
day,2017-01-31 00:00:00,0.9922534,,historical_city_aggregate,1.0602504,-0.06799699999999997
day,2017-02-01 00:00:00,1.2433951,,historical_city_aggregate,0.9922534,0.25114170000000013
day,2017-02-02 00:00:00,1.1814533,,historical_city_aggregate,1.2433951,-0.06194180000000005
day,2017-02-03 00:00:00,1.172425,,historical_city_aggregate,1.1814533,-0.009028299999999989
day,2017-02-06 00:00:00,1.154259,,historical_city_aggregate,1.172425,-0.018166000000000126
day,2017-02-07 00:00:00,1.1734313,,historical_city_aggregate,1.154259,0.019172300000000142
day,2017-02-08 00:00:00,1.0831592,,historical_city_aggregate,1.1734313,-0.09027209999999997
day,2017-02-09 00:00:00,1.0059252,,historical_city_aggregate,1.0831592,-0.07723400000000002
day,2017-02-10 00:00:00,1.2016571,,historical_city_aggregate,1.0059252,0.19573189999999996
day,2017-02-13 00:00:00,1.0711054,,historical_city_aggregate,1.2016571,-0.13055170000000005
day,2017-02-14 00:00:00,1.3036877,,historical_city_aggregate,1.0711054,0.23258230000000002
day,2017-02-15 00:00:00,1.0506177,,historical_city_aggregate,1.3036877,-0.2530699999999999
day,2017-02-16 00:00:00,1.1202218,,historical_city_aggregate,1.0506177,0.06960409999999984
day,2017-02-17 00:00:00,1.1787041,,historical_city_aggregate,1.1202218,0.0584823000000001
day,2017-02-20 00:00:00,1.1293908,,historical_city_aggregate,1.1787041,-0.049313300000000115
day,2017-02-21 00:00:00,1.3100119,,historical_city_aggregate,1.1293908,0.18062109999999998
day,2017-02-22 00:00:00,2.4390786,,historical_city_aggregate,1.3100119,1.1290667000000003
day,2017-02-23 00:00:00,1.1892292,,historical_city_aggregate,2.4390786,-1.2498494000000002
day,2017-02-24 00:00:00,1.0360028,,historical_city_aggregate,1.1892292,-0.1532264000000001
day,2017-02-27 00:00:00,1.0383517,,historical_city_aggregate,1.0360028,0.002348900000000098
day,2017-02-28 00:00:00,1.1054851,,historical_city_aggregate,1.0383517,0.06713340000000012
day,2017-03-01 00:00:00,1.1668748,,historical_city_aggregate,1.1054851,0.06138969999999988
